"Mervin F. Verbit"	"authorOf"	"d9042469-8b7f-4244-9350-67f629be798a"
"Scarlett Cornelissen"	"authorOf"	"bca85f74-d685-47da-8407-3f95d1103176"
"E. van Alphen"	"authorOf"	"9cd53923-ea6c-4300-98fd-cbf711c07376"
"Clement Bellet"	"authorOf"	"3bc801b5-7445-42d6-bb27-317a3e810388"
"Tien-Hsi Fang"	"authorOf"	"c6e2b052-61ec-48aa-947d-2b8827ed5e19"
"Michael J. Shadiro"	"authorOf"	"#22:5723310"
"Swati Dhingra"	"authorOf"	"1cb3a6d9-5b13-4e04-baf2-4d8f880ec4c6"
"Judith Stephenson"	"authorOf"	"c3aad67c-ef8a-4a34-a755-8ef3976e5acf"
"Savita Ahlawat"	"authorOf"	"a10eda8e-6e69-4c28-a8ec-e4b91d4eabc8"
"Ncsu"	"authorOf"	"a48795d3-5eb9-4ce8-9817-2bf59331925c"
"Teresa N. Hollingsworth"	"authorOf"	"0b38be5f-7725-4a79-892f-57da615394ee"
"Steven Brint"	"authorOf"	"ab3baccd-3645-44a7-a648-43e06fac4433"
